DID NOT FIT	DID NOT FIT	 5.0e+14 (0.00-   .)	 4.9e+15 (0.00-   .)	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	0.01 (0.00-   .)	0.03 (0.00-   .)	DID NOT FIT	DID NOT FIT
1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)
DID NOT FIT	DID NOT FIT	0.01 (0.00-   .)	0.12 (0.00-   .)	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	0.01 (0.00-   .)	0.09 (0.00-   .)	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	0.01 (0.00-   .)	0.06 (0.00-   .)	DID NOT FIT	DID NOT FIT


1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)
DID NOT FIT	DID NOT FIT	DID NOT FIT	0.00 (0.00-   .)	DID NOT FIT	DID NOT FIT


1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT


1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT


1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)
DID NOT FIT	DID NOT FIT	1.00 (   .-   .)	1.00 (   .-   .)	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	1.00 (   .-   .)	1.00 (   .-   .)	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	1.00 (   .-   .)	1.00 (   .-   .)	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	1.00 (   .-   .)	1.00 (   .-   .)	DID NOT FIT	DID NOT FIT


1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT


1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)	1.00 (ref)
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT


DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT


DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT

DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT


DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT


DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT


DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT

DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT

DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT

DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT

DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT

DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT

DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT

DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT

DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT	DID NOT FIT
